Mix,All Red,All White,Substitutes,Never been in club before?,item_id,name,wine_type,year,brand,classification,grapes,region,flavors,pairings,abv,body,fruit,earth,tannin,oak,acidity,short_tasting_note,tasting_note
X,,,,Yes,a0IE000000ZQMF9,2015 The Descent Valle Central Merlot,red,2015,The Descent,Merlot,Merlot,"Central Valley, Chile","Bell pepper, cherry, Herbs, Mocha","braised meats, grilled red meats, charcuterie",12.70%,4,3,4,4,NULL,NULL,"Red-violet in color, the vibrant wine fills the glass with aromas of cherry, chocolate and sweet spices. The inviting bouquet leads to a similar palate of cherry and plum layered over hints of mocha and spice.","This lush, rich red is perfect for your descent into relaxation. Red-violet in color, the vibrant wine fills the glass with aromas of cherry, chocolate and sweet spices. The inviting bouquet leads to a similar palate of cherry and plum layered over hints of mocha and spice. This medium-bodied wine finishes smoothly and satisfyingly. Enjoy it on its own or with your favorite Asian-inspired dishes."
X,X,,,Yes,a0I0L00000c8mIJ,2015 Pulcino D'oro Super Tuscan Red Blend,red,2015,Pulcino d'oro,Super Tuscan,"Sangiovese, Cabernet Sauvignon","Tuscany, Italy","Black Cherry, Dark Fruit, Plum, Toasty Oak, Vanilla","Beef; Charcuterie, Hard Cheeses, Marinated Red Meats",12.90%,4,4,2,4,NULL,NULL,"Dark, chewy cherry and plum flavors are elevated by oak and vanilla nuances, culminating in a voluptuous wine with a deliciously long finish.","Masculine and robust, this Super Tuscan brings together Sangiovese and Cabernet Sauvignon and is a testament to why these blends have become so popular worldwide. Dark, chewy cherry and plum flavors are elevated by oak and vanilla nuances, culminating in a voluptuous wine with a deliciously long finish. Not shy, this wine requires a rich pairing like a well-marbled steak."
X,X,,,Yes,a0I0L00000c94hs,2015 Strato Paso Robles Cabernet Sauvignon,red,2015,Strato,Cabernet Sauvignon,Cabernet Sauvignon,"Paso Robles, California, United States","Black Cherry, Black Currant, Black Fruit, Cacao, Coffee, Plum","Beef, Grilled Red Meats, Hard Cheeses, Marinated Red Meats, Steaks",13.90%,4,4,3,4,NULL,NULL,"Plump, ripe, dark black-red fruit flavors of plum, cherry and currant are exuberantly displayed on the palate, along with a dash of coffee bean and dried herbs.","This Cabernet Sauvignon comes from Paso Robles, a relatively young appellation that's still defining itself. The region's winemakers are still homing in on the best varietals to grow here -- and the best areas to grow them -- and this plump, ripe wine is the region's latest success story. Dark black-red fruits are exuberantly displayed on the palate, with a dash of coffee bean and dried herbs adding complexity to the finish. Decanting this wine will mellow out the tannins and allow you to enjoy it in all its glory. Grill up your favorite cut of meat for an exquisite pairing."
X,X,,,Yes,a0IE000000Srk7S,2014 Château de Win Graves Rouge Reserve,red,2014,Château de Win,Graves Rouge,"Cabernet Sauvignon, Merlot","California, United States","chocolate, spice, tobacco","grilled chicken, roasted vegetables, grilled red meats",13.00%,3,3,4,2,NULL,NULL,"This earthy red wine bursts with floral aromas, followed by fresh notes of orange zest, blackberry and cassis.","For those special occasions that call for a distinctive bottle, this earthy red from the Graves region of Bordeaux is the perfect choice. The intensely gravelly soils of the area lend this wine its distinctive sense of terroir and superior structure. Floral aromas burst forth, along with fresh notes of of orange zest, blackberry and cassis. Pair this winning wine with grilled red meats or roasted vegetables for a match that can't be beat."
,X,,,Yes,a0IE000000akfEL,2015 La Forêt Vin de Pays d'Oc Pinot Noir,red,2015,La Forêt,Pinot Noir,Pinot Noir,"Pays D'Oc, Languedoc-Roussillon, France","cherry, cinnamon, earth, Forest Floor","chicken dishes, mushroom risotto, Game Bird",12.00%,3,3,3,2,NULL,NULL,"A fresh and elegant wine, with soft and supple tannins. The aromas range from raspberry to Morello cherry. Drink this wine on its own, or pair it with a light meal of grilled chicken or salmon.","Grown in the beautiful vineyards of the South of France, the grapes for this Pinot Noir thrived in a temperate Mediterranean climate, resulting in a wine that's easy to drink and ideal for casual consumption. Fresh and elegant, this red reveals flavors of raspberry and Morello cherry, accompanied by soft and supple tannins. Pair it with a light meal of grilled chicken or salmon."
,X,,,Yes,a0IE000000akgIk,2013 Longwave Monterey County Syrah,red,2013,Longwave,Syrah,Syrah,"California, United States","blackberry, Herbs, plum","barbecue, Steamed Pork Buns, Leg of Lamb",13.76%,4,4,2,3,NULL,NULL,"This transcendent Monterey County Syrah features aromas of plum and blackberry, hints of herbs and spice, integrated tannins and a lingering black-fruit finish.","This transcendent Monterey County Syrah features aromas of plum and blackberry, hints of herbs and spice, integrated tannins and a lingering black-fruit finish. Mostly Syrah, with a bit of Merlot, Petite Sirah, Pinot Noir and Cabernet Sauvignon blended in, the juice for this wine was fermented in stainless steel to bring out the freshness of the fruit flavors. Enjoy with lamb, barbecue and other savory foods."
,X,,,Yes,a0IE000000TiBol,2014 Tornambe Piedmont Barbera d'Asti,red,2014,Tornambe,Barbera d'Asti,Barbera,"Barbera d'Asti DOCG, Piedmont, Italy","Dark Cherry, strawberry, tobacco, violet","aged cheeses, braised meats, Italian dishes",13.00%,2,3,4,2,NULL,NULL,"This smooth, delightful red shows delicately interwoven characters of red plum, dried cherry, leather, herbs and cranberry.","This wine is named for an enterprising, entrepreneurial family that emigrated from Italy to New York in 1921 – and persevered despite threats from The Black Hand mafia. Made in a fresh, approachable, modern style, yet possessing the classic structure and finesse of wines from Northwest Italy’s sun-exposed hills of Asti, this Barbera shows delicately interwoven characters of red plum, dried cherry, leather, herbs and cranberry-like acidity. Just as the Tornambes do, enjoy this smooth red alongside pasta Bolognese, grilled meat dishes or seafood pasta in red sauce."
X,,X,,Yes,a0I0L00000c94hJ,2015 Trilus California Chardonnay,white,2015,Trilus,Chardonnay,Chardonnay,"California, United States","Apple Skin, Asian Pear, Butter, Lemon, Spice","Poultry, Roasted Chicken, Seafood",13.70%,4,4,,,3,3,"An exuberantly fruited Chardonnay, with flavors of lemon curd, apple and pear displayed on the palate.","An exuberantly fruited Chardonnay, with flavors of lemon curd, apple and pear prominently displayed on the palate. A richer mouth-feel can be attributed to partial barrel-fermentation and sur-lie ageing, however the wine remains focused and vibrant due to limited ML."
X,,X,,Yes,a0IE000000ZQRiL,2015 Tengo Albariño Rías Baixas,white,2015,Tengo,Albariño,Albariño,"Rías Baixas DO, Spain","kiwifruit, lemon, pear, white pepper","ceviche, Sushi, Oysters",12.00%,2,4,NULL,NULL,1,3,"Zesty and aromatic, this delightful Albariño from the Spanish coastal region of Rías Baixas features fresh notes of lemon, passionfruit and white pepper.","With fresh notes of lemon and passionfruit, this lush and flavorful wine is a must-drink during the dog days of summer. Zesty and aromatic, this delightful Albariño from the Spanish coastal region of Rías Baixas makes a wonderful partner for all sorts of light seafood, from sashimi to oysters."
,,X,,Yes,a0IE000000OAODJ,2014 Winston & Sons Martinborough New Zealand Sauvignon Blanc,white,2014,Winston & Sons,Sauvignon Blanc,Sauvignon Blanc,"Martinborough, Wairarapa, New Zealand","mineral, passion fruit, grass, lemon","goat cheese, seafood, light salads",12.60%,3,4,NULL,NULL,1,4,"Signature grass, passion fruit, citrus and Meyer lemon flavors that make New Zealand Sauvignon Blanc can be found on the palate.","Light and elegant at first, this wine might smell and taste a bit like a subdued Bordeaux white – but it's just being shy. With air and a little warming in the glass, the wine slowly starts to reveal the signature grass, passion fruit, citrus and Meyer lemon flavors that make New Zealand Sauvignon Blanc special. A subtle, Old World-style minerality runs through the length of the wine, start to finish, carrying with it a subtle nectarine note. The wine finishes very clean and pure, making it great to drink on its own or with light seafood dishes and salads."
